Country,Suicides_per_100KPop
Dominica,0
Saint Kitts and Nevis,0
Oman,26.5
United Arab Emirates,94.89
Jamaica,106.44
Bosnia and Herzegovina,110.81
Cabo Verde,133.84
San Marino,145.62
Maldives,164.08
Macau,171.74
Antigua and Barbuda,179.14
Mongolia,184.39
Turkey,199.17
South Africa,231.49
Qatar,318.15
Bahamas,344.28
Kuwait,355.93
Azerbaijan,356.24
Philippines,435.83
Bahrain,467.24
Nicaragua,472.82
Cyprus,586.26
Grenada,661
Fiji,673.86
Kiribati,878.51
Barbados,891.13
Albania,924.76
Armenia,976.21
Georgia,1116.38
Guatemala,1146.7
Montenegro,1194.03
Paraguay,1366.37
Greece,1512.12
Aruba,1596.52
Seychelles,1615.7
Saint Vincent and Grenadines,1726.63
Panama,1744.06
Mexico,1751.19
Malta,1872.01
Colombia,2009.39
Belize,2093.49
Uzbekistan,2138.17
Brazil,2174.72
Ecuador,2345.21
Thailand,2362.67
Saint Lucia,2420.12
Costa Rica,2553.72
United Kingdom,2790.92
Turkmenistan,2994.73
El Salvador,3035.94
Italy,3168.87
Slovakia,3318.16
Israel,3329.97
Spain,3509.06
Portugal,3673.36
Denmark,3721.65
Puerto Rico,3789.28
Ireland,3881.73
Argentina,3894.59
Chile,3921.64
Netherlands,4066.52
Romania,4171.55
Canada,4338.72
Poland,4397.62
Kyrgyzstan,4457.3
Mauritius,4464.58
Trinidad and Tobago,4479.51
Norway,4658.76
Sri Lanka,4658.96
Australia,4677.41
Serbia,4787.45
Switzerland,4794.07
Germany,4854.69
Iceland,4889.74
New Zealand,5008.320000000
United States,5140.97
Sweden,5247.72
Czech Republic,5952.990000000
Croatia,5982.84
Cuba,6111.95
Luxembourg,6156.560000000
Singapore,6340.98
Uruguay,6538.96
Guyana,6655.92
Estonia,6873.78
Slovenia,7012.62
Bulgaria,7016.080000000
Suriname,7162.32
Latvia,7373.35
France,7803.25
Belarus,7831.13
Belgium,7900.5
Finland,7924.11
Japan,8025.23
Ukraine,8931.660000000
Austria,9076.23
Republic of Korea,9350.45
Kazakhstan,9519.520000000
Hungary,10156.07
Lithuania,10588.88
Russian Federation,11305.13
