Country,Year,Suicide_Rate
Thailand,2016,7.703678610
Sweden,2016,13.906234079
Romania,2016,11.733320196
Qatar,2016,3.072583921
Netherlands,2016,13.244796852
Mongolia,2016,19.514769636
Mauritius,2016,9.874731972
Lithuania,2016,33.615562288
Iceland,2016,14.882447270
Hungary,2016,20.988347355
Grenada,2016,0
Czech Republic,2016,14.759334383
Cyprus,2016,5.060842574
Croatia,2016,19.147512379
Austria,2016,16.046219525
Armenia,2016,2.791628282
Uruguay,2015,19.744295701
United States,2015,14.725812872
United Kingdom,2015,8.038250679
Ukraine,2015,18.772874639
Turkmenistan,2015,2.721776710
Turkey,2015,2.131316236
Thailand,2015,6.864042466
Switzerland,2015,13.595181857
Sweden,2015,12.968312991
Spain,2015,8.156332174
South Africa,2015,0.971236489
Slovenia,2015,21.589741701
Singapore,2015,8.846190559
Seychelles,2015,8.144364681
Serbia,2015,15.695185893
Saint Vincent and Grenadines,2015,2.971827079
Russian Federation,2015,18.560937227
Romania,2015,11.810902364
Republic of Korea,2015,27.757373517
Qatar,2015,2.803563244
Puerto Rico,2015,6.513867476
Poland,2015,15.019435898
Panama,2015,3.069725751
Norway,2015,12.082961202
Nicaragua,2015,5.751866663
Netherlands,2015,11.664446083
Mexico,2015,5.451307581
Mauritius,2015,9.005514146
Malta,2015,8.279818915
Luxembourg,2015,11.901485454
Lithuania,2015,32.535369505
Latvia,2015,20.634255423
Kyrgyzstan,2015,8.025671371
Kazakhstan,2015,18.355247147
Japan,2015,19.183176490
Italy,2015,6.861937423
Israel,2015,4.550183737
Iceland,2015,12.963695172
Hungary,2015,19.894522818
Guatemala,2015,3.464625091
Grenada,2015,0
Greece,2015,5.120369333
Germany,2015,12.910709302
Georgia,2015,5.551700208
Finland,2015,14.107075210
Estonia,2015,15.682174595
Ecuador,2015,7.382676676
Denmark,2015,10.477312161
Czech Republic,2015,13.884822048
Cyprus,2015,5.024892059
Cuba,2015,13.949321588
Croatia,2015,18.467294521
Colombia,2015,5.241577025
Chile,2015,11.095198067
Brazil,2015,5.841839076
Belize,2015,8.129191614
Belgium,2015,17.572829826
Austria,2015,15.220114982
Australia,2015,13.610131117
Armenia,2015,2.647267680
Argentina,2015,7.740627468
Antigua and Barbuda,2015,1.088269543
Uzbekistan,2014,7.670197752
Uruguay,2014,18.598679211
United States,2014,14.364076596
United Kingdom,2014,7.904840513
Ukraine,2014,19.691497403
Turkmenistan,2014,2.826721749
Turkey,2014,2.279666754
Thailand,2014,6.463862015
Switzerland,2014,13.214469691
Sweden,2014,12.595281992
Suriname,2014,25.718252525
Spain,2014,8.853870634
South Africa,2014,1.185799947
Slovenia,2014,19.879228563
Slovakia,2014,10.799881318
Singapore,2014,9.622239027
Seychelles,2014,4.770707854
Serbia,2014,16.672032885
Saint Vincent and Grenadines,2014,1.986570782
Saint Lucia,2014,8.454310491
Russian Federation,2014,19.701744055
Romania,2014,11.655617398
Republic of Korea,2014,28.543770254
Qatar,2014,2.442618451
Puerto Rico,2014,6.338311405
Portugal,2014,12.288282298
Poland,2014,16.456075672
Paraguay,2014,6.448216736
Panama,2014,4.175883675
Oman,2014,0.192779154
Norway,2014,11.352388497
Nicaragua,2014,5.756675152
Netherlands,2014,11.566395639
Mexico,2014,5.482170615
Mauritius,2014,10.421877605
Malta,2014,7.871594613
Luxembourg,2014,12.763363432
Lithuania,2014,33.434271278
Latvia,2014,20.168517999
Kyrgyzstan,2014,9.045547570
Kuwait,2014,1.830277309
Kazakhstan,2014,20.215383602
Japan,2014,20.251259624
Italy,2014,7.137610585
Israel,2014,5.185812269
Ireland,2014,11.229093611
Iceland,2014,14.451246748
Hungary,2014,20.450901476
Guatemala,2014,3.670990357
Grenada,2014,0
Greece,2014,5.442873097
Germany,2014,13.174323534
Georgia,2014,5.589811560
France,2014,14.733902013
Finland,2014,15.290863622
Estonia,2014,19.406499325
El Salvador,2014,6.776293996
Ecuador,2014,5.134610387
Denmark,2014,11.780866150
Czech Republic,2014,14.945107093
Cyprus,2014,5.467074544
Cuba,2014,13.437018162
Croatia,2014,17.913623584
Costa Rica,2014,6.085827425
Colombia,2014,4.829425421
Chile,2014,10.903970880
Bulgaria,2014,10.517333699
Brazil,2014,5.616382114
Bosnia and Herzegovina,2014,8.565558955
Belize,2014,7.673124880
Belgium,2014,17.950914882
Belarus,2014,19.546474634
Bahrain,2014,0.741371669
Austria,2014,16.140196151
Australia,2014,13.184305232
Armenia,2014,2.069190151
Argentina,2014,8.226281557
Antigua and Barbuda,2014,0
Uzbekistan,2013,7.265566980
Uruguay,2013,17.252983723
United States,2013,13.931532331
United Kingdom,2013,8.027718527
Turkmenistan,2013,2.127186816
Turkey,2013,2.590141504
Thailand,2013,6.518395576
Switzerland,2013,13.942919692
Sweden,2013,13.630196803
Suriname,2013,26.606602093
Spain,2013,8.756970332
South Africa,2013,1.218026822
Slovenia,2013,22.892033778
Slovakia,2013,12.026061412
Singapore,2013,9.750219585
Seychelles,2013,10.903672114
Serbia,2013,17.518337909
Saint Vincent and Grenadines,2013,0
Saint Lucia,2013,8.495661144
Russian Federation,2013,21.296975884
Romania,2013,12.666191136
Republic of Korea,2013,29.899546147
Qatar,2013,1.732737833
Puerto Rico,2013,6.941914038
Portugal,2013,10.535725624
Poland,2013,17.260861698
Paraguay,2013,5.582240663
Panama,2013,3.760065043
Norway,2013,11.620090171
Nicaragua,2013,6.589154927
New Zealand,2013,12.421999288
Netherlands,2013,11.673317187
Mexico,2013,5.143344127
Mauritius,2013,8.541123768
Malta,2013,5.462744085
Luxembourg,2013,7.802000823
