Country,Gdp Per Capita ($),Sub-Region,Suicide_Rate
Switzerland,86068,Western Europe,13.595181857
Netherlands,47206,Western Europe,11.664446083
Luxembourg,107456,Western Europe,11.901485454
Germany,43201,Western Europe,12.910709302
Belgium,42830,Western Europe,17.572829826
Austria,46484,Western Europe,15.220114982
Turkey,11961,Western Asia,2.131316236
Qatar,69937,Western Asia,2.803563244
Israel,39793,Western Asia,4.550183737
Georgia,4046,Western Asia,5.551700208
Cyprus,24718,Western Asia,5.024892059
Armenia,3775,Western Asia,2.647267680
South Africa,6403,Sub-Saharan Africa,0.971236489
Seychelles,16005,Sub-Saharan Africa,8.144364681
Mauritius,10125,Sub-Saharan Africa,9.005514146
Spain,27108,Southern Europe,8.156332174
Slovenia,22036,Southern Europe,21.589741701
Serbia,5492,Southern Europe,15.695185893
Malta,25750,Southern Europe,8.279818915
Italy,31537,Southern Europe,6.861937423
Greece,18927,Southern Europe,5.120369333
Croatia,12351,Southern Europe,18.467294521
Thailand,6552,South-eastern Asia,6.864042466
Singapore,81766,South-eastern Asia,8.846190559
Sweden,54629,Northern Europe,12.968312991
Norway,79187,Northern Europe,12.082961202
Lithuania,15073,Northern Europe,32.535369505
Latvia,14382,Northern Europe,20.634255423
Iceland,54909,Northern Europe,12.963695172
Finland,44862,Northern Europe,14.107075210
Estonia,18149,Northern Europe,15.682174595
Denmark,55972,Northern Europe,10.477312161
Uruguay,16696,Latin America and the Caribbean,19.744295701
Puerto Rico,29728,Latin America and the Caribbean,6.513867476
Panama,15158,Latin America and the Caribbean,3.069725751
Nicaragua,2303,Latin America and the Caribbean,5.751866663
Mexico,10228,Latin America and the Caribbean,5.451307581
Guatemala,4472,Latin America and the Caribbean,3.464625091
Grenada,10290,Latin America and the Caribbean,0
Ecuador,6832,Latin America and the Caribbean,7.382676676
Cuba,8044,Latin America and the Caribbean,13.949321588
Colombia,6552,Latin America and the Caribbean,5.241577025
Chile,14729,Latin America and the Caribbean,11.095198067
Brazil,9431,Latin America and the Caribbean,5.841839076
Belize,5561,Latin America and the Caribbean,8.129191614
Argentina,14981,Latin America and the Caribbean,7.740627468
Antigua and Barbuda,14853,Latin America and the Caribbean,1.088269543
Ukraine,2256,Eastern Europe,18.772874639
Russian Federation,9987,Eastern Europe,18.560937227
Romania,9431,Eastern Europe,11.810902364
Poland,13228,Eastern Europe,15.019435898
Hungary,13087,Eastern Europe,19.894522818
Japan,36510,Eastern Asia,19.183176490
Turkmenistan,7326,Central Asia,2.721776710
Kyrgyzstan,1285,Central Asia,8.025671371
Kazakhstan,11784,Central Asia,18.355247147
Australia,60656,Australia and New Zealand,13.610131117
United States,60387,,14.725812872
United Kingdom,47240,,8.038250679
Saint Vincent and Grenadines,7496,,2.971827079
Republic of Korea,28410,,27.757373517
Czech Republic,18703,,13.884822048
