Country,Gdp Per Capita ($),Sub-Region,Year,Suicide_Rate
Netherlands,10428,Western Europe,1985,12.027933002
Luxembourg,13743,Western Europe,1985,15.951276102
France,10765,Western Europe,1985,24.329247644
Belgium,9356,Western Europe,1985,24.607318547
Austria,9759,Western Europe,1985,29.408807031
Kuwait,14607,Western Asia,1985,1.158038147
Israel,7325,Western Asia,1985,6.234181431
Bahrain,9980,Western Asia,1985,3.006285870
Seychelles,2947,Sub-Saharan Africa,1985,13.961605585
Mauritius,1223,Sub-Saharan Africa,1985,11.772696400
Spain,5009,Southern Europe,1985,6.983915326
Portugal,2912,Southern Europe,1985,10.554084044
Malta,3639,Southern Europe,1985,0.651041667
Italy,8329,Southern Europe,1985,8.794283254
Greece,5156,Southern Europe,1985,4.366388512
Sri Lanka,431,Southern Asia,1985,40.903514469
Thailand,840,South-eastern Asia,1985,6.440125846
Singapore,8142,South-eastern Asia,1985,13.784301213
Ireland,6638,Northern Europe,1985,8.602954928
Iceland,13357,Northern Europe,1985,14.538845979
Canada,15522,Northern America,1985,13.863888783
Uruguay,1729,Latin America and the Caribbean,1985,10.484401257
Trinidad and Tobago,7317,Latin America and the Caribbean,1985,2.876984127
Suriname,2706,Latin America and the Caribbean,1985,24.790827394
Puerto Rico,6582,Latin America and the Caribbean,1985,8.726682887
Paraguay,964,Latin America and the Caribbean,1985,2.047239898
Panama,3443,Latin America and the Caribbean,1985,2.947833869
Mexico,2730,Latin America and the Caribbean,1985,2.285173016
Jamaica,1032,Latin America and the Caribbean,1985,0.393120393
Grenada,1965,Latin America and the Caribbean,1985,1.171303075
Ecuador,2238,Latin America and the Caribbean,1985,5.129342974
Dominica,1485,Latin America and the Caribbean,1985,0
Costa Rica,2145,Latin America and the Caribbean,1985,5.723996065
Colombia,1393,Latin America and the Caribbean,1985,3.995625170
Chile,1658,Latin America and the Caribbean,1985,6.397886730
Brazil,1898,Latin America and the Caribbean,1985,3.598944151
Barbados,6137,Latin America and the Caribbean,1985,3.030303030
Bahamas,11393,Latin America and the Caribbean,1985,0.490918017
Argentina,3264,Latin America and the Caribbean,1985,7.338284584
Antigua and Barbuda,3850,Latin America and the Caribbean,1985,0
Bulgaria,2044,Eastern Europe,1985,17.348823354
Japan,12401,Eastern Asia,1985,20.616226336
New Zealand,8246,Australia and New Zealand,1985,11.170599511
Australia,12374,Australia and New Zealand,1985,12.779399142
United States,19693,,1985,13.340703053
United Kingdom,9231,,1985,9.630887965
Saint Vincent and Grenadines,1622,,1985,2.227171492
Republic of Korea,2731,,1985,10.047199231
Netherlands,14479,Western Europe,1986,11.711876164
Luxembourg,20004,Western Europe,1986,14.739884393
France,14940,Western Europe,1986,24.263327498
Belgium,12992,Western Europe,1986,23.710307846
Austria,13911,Western Europe,1986,30.045725971
Kuwait,11661,Western Asia,1986,1.042141601
Israel,8938,Western Asia,1986,7.289891176
Seychelles,3621,Sub-Saharan Africa,1986,1.742160279
Mauritius,1636,Sub-Saharan Africa,1986,3.117692907
Spain,6919,Southern Europe,1986,7.605664909
Portugal,4145,Southern Europe,1986,10.064980627
Malta,4544,Southern Europe,1986,0.316656111
Italy,11762,Southern Europe,1986,8.644216151
Greece,6040,Southern Europe,1986,4.210413542
Sri Lanka,454,Southern Asia,1986,37.904037897
Thailand,911,South-eastern Asia,1986,5.911500943
Singapore,7805,South-eastern Asia,1986,13.701508847
Norway,20117,Northern Europe,1986,14.801748600
Ireland,8937,Northern Europe,1986,8.766748531
Iceland,17681,Northern Europe,1986,16.644174539
Canada,16062,Northern America,1986,15.617619398
Uruguay,2132,Latin America and the Caribbean,1986,9.501015376
Trinidad and Tobago,4516,Latin America and the Caribbean,1986,9.796533534
Suriname,2731,Latin America and the Caribbean,1986,12.871827248
Saint Lucia,2634,Latin America and the Caribbean,1986,4.545454545
Puerto Rico,7002,Latin America and the Caribbean,1986,9.862560448
Paraguay,1086,Latin America and the Caribbean,1986,1.767936266
Panama,3504,Latin America and the Caribbean,1986,4.227022011
Mexico,1873,Latin America and the Caribbean,1986,2.479619811
Jamaica,1342,Latin America and the Caribbean,1986,0.048720336
Guatemala,1044,Latin America and the Caribbean,1986,2.931751709
Ecuador,1943,Latin America and the Caribbean,1986,4.783474807
Costa Rica,2389,Latin America and the Caribbean,1986,5.713288848
Colombia,1366,Latin America and the Caribbean,1986,3.744293665
Chile,1728,Latin America and the Caribbean,1986,5.982601059
Brazil,2257,Latin America and the Caribbean,1986,3.595832169
Belize,1552,Latin America and the Caribbean,1986,2.043596730
Barbados,6720,Latin America and the Caribbean,1986,3.454231434
Argentina,4072,Latin America and the Caribbean,1986,8.383374198
Antigua and Barbuda,4740,Latin America and the Caribbean,1986,0
Bulgaria,2413,Eastern Europe,1986,16.778883394
Japan,18288,Eastern Asia,1986,22.417508951
New Zealand,10114,Australia and New Zealand,1986,13.680975513
Australia,12288,Australia and New Zealand,1986,13.801671866
United States,20588,,1986,13.855835086
United Kingdom,11323,,1986,9.109643340
Saint Vincent and Grenadines,1771,,1986,0
Republic of Korea,3078,,1986,9.211409575
Netherlands,17560,Western Europe,1987,11.729694418
Luxembourg,24654,Western Europe,1987,21.179164282
France,17999,Western Europe,1987,23.431238054
Belgium,16165,Western Europe,1987,24.087049175
Austria,17415,Western Europe,1987,29.018208400
Kuwait,13924,Western Asia,1987,0.996077943
Israel,10558,Western Asia,1987,6.987958021
Bahrain,9321,Western Asia,1987,2.473206925
Seychelles,4276,Sub-Saharan Africa,1987,5.145797599
